ssa,rayleigh
0.026852750607697234, 0.003561523794021193
0.05565251748425795, 0.008564012045851221
0.08402243709400434, 0.013327704027809695
0.11239235670375075, 0.018948294334147686
0.14076227631349714, 0.02471170102788256
0.16913219592324352, 0.03090355688380697
0.1975021155329899, 0.03723822912712804
0.2258720351427363, 0.043858534145242434
0.2542419547524827, 0.050336022775960165
0.28261187436222907, 0.05724196056886777
0.31098179397197545, 0.06457634752396513
0.33935171358172184, 0.0719107344790626
0.3677216331914682, 0.07953075420895306
0.39609155280121455, 0.08772203948843005
0.424461472410961, 0.09591332476790704
0.45283139202070744, 0.10453305920957379
0.48120131163045377, 0.1138668755882235
0.5095712312402002, 0.12320069196687333
0.5379411508499465, 0.13310577389510936
0.566311070459693, 0.14372493776032857
0.5946809900694393, 0.1549153671751341
0.6230509096791857, 0.16667706213952627
0.6514208292889321, 0.17929565542829773
0.6797907488986785, 0.19305677981624203
0.7081606685084249, 0.20781761891596262
0.7365305881181713, 0.2241494382770457
0.7649005077279176, 0.24148097234990518
0.7932704273376641, 0.26095475223371345
0.8216403469474104, 0.2824279615410743
0.8500102665571568, 0.3077572133081433
0.8783801861669033, 0.33608560921054087
0.9054605639762064, 0.37012435373617203
0.9286723163841809, 0.4041383255954871
0.9467259015903832, 0.4411541154652252
0.9609108613952563, 0.4754792267705774
0.9725167375992435, 0.5120252797009324
0.9815435302023446, 0.5472575686682241
0.9892807810050027, 0.5891642168736764
0.9931494064063316, 0.6373478655066876
0.9957284900072177, 0.677412475916695
0.9995971154085469, 0.7249415494408051
