ssa,isotropic
0.014387179870081396, -0.0019354041582764214
0.04275709947982778, 0.001971389499302534
0.07112701908957417, 0.005735366769484829
0.09949693869932058, 0.009927793201857105
0.12786685830906697, 0.01383458685943606
0.15623677791881335, 0.018312646066601213
0.18460669752855974, 0.02279070527376681
0.21297661713830612, 0.027268764480931962
0.2413465367480525, 0.032318089237683756
0.2697164563577989, 0.03722459760703889
0.2980863759675453, 0.04255955513858378
0.32645629557729167, 0.048037329057525335
0.35482621518703805, 0.05394355213865687
0.3831961347967844, 0.05984977521978818
0.4115660544065308, 0.06618444746310936
0.43993597401627715, 0.0729475688686202
0.4683058936260236, 0.07999632304892446
0.4966758132357699, 0.08747352639141825
0.5250457328455164, 0.09566481167089536
0.5534156524552627, 0.1039989133377689
0.5817855720650091, 0.11318991332902206
0.6101554916747556, 0.12280936248246499
0.6385254112845019, 0.1334285263476841
0.6668953308942484, 0.14447613937509307
0.6952652505039947, 0.15738036543865785
0.7236351701137411, 0.17085585705180906
0.7520050897234875, 0.18590232892632275
0.7803750093332339, 0.2026625974495957
0.8087449289429802, 0.22142229539642122
0.8371148485527267, 0.24360958664076482
0.865484768162473, 0.2680819400834543
0.8938546877722194, 0.2994094801211804
0.9196455237810798, 0.3320970963376577
0.9389886507877251, 0.36573322168403744
0.9544631523930412, 0.3997988098184596
0.9673585703974713, 0.43385978420762084
0.9776749048010155, 0.4700107852000046
0.9867016974041166, 0.5137525505830105
0.9927195591395174, 0.5598454036552558
0.9957284900072177, 0.6090748345474217
0.9987374208749181, 0.6551623049168627
1.0021761990094329, 0.6829224411946166
